,y,z,x,t,deviation,target_idx,y_d,z_d,x_d,t_d,c,color,deviationc,Ziehtiefe,part,tp,dx,dy,dz,nx,ny,nz
856,54.51023760144665,-4.589400231513885e-06,0.0,0.8568568568568569,0.00815857897668431,8568,54.51839618042331,0.7499954296548905,0.0,0.8568856885688569,-1.0,cyan,-0.00815857897668431,50,ru,4.31577380952381,0.0,0.2832556658230416,5.894657645333368e-07,0.0,-2.0810378596286135e-06,0.9999999999978346
857,54.793493256543485,-3.6088193636762966e-06,0.0,0.8578578578578578,0.007903622929098686,8578,54.801396879472506,0.7499964262177721,0.0,0.8578857885788579,1.0,cyan,0.007903622929098686,50,ru,4.320558608058608,0.0,0.28325564938028336,1.1890273628467618e-06,0.0,-4.197718087662794e-06,0.9999999999911895
858,55.076748900207214,-2.2113455058203613e-06,0.0,0.8588588588588588,0.007648667181113844,8588,55.08439756738822,0.7499978287479134,0.0,0.858885888588859,-1.0,cyan,-0.007648667181113844,50,ru,4.325343406593406,0.0,0.2832556429567781,1.4232517439038972e-06,0.0,-5.024619206273341e-06,0.9999999999873767
859,55.36000454245704,-7.623158758685022e-07,0.0,0.8598598598598598,0.007393711705672948,8598,55.36739825416263,0.7499992728937184,0.0,0.8598859885988599,1.0,cyan,0.007393711705672948,50,ru,4.330128205128204,0.0,0.2832556464936822,1.2942839582863463e-06,0.0,-4.569313884098345e-06,0.9999999999895606
860,55.64326019319458,3.7722241075233143e-07,0.0,0.8608608608608609,0.007138756450877484,8608,55.65039894964542,0.75000039950108,0.0,0.860886088608861,-1.0,cyan,-0.007138756450877484,50,ru,4.3349130036630035,0.0,0.28325565737554825,8.97491940932138e-07,0.0,-3.1684872572119997e-06,0.9999999999949802
861,55.92651585720814,1.0326680059957738e-06,0.0,0.8618618618618619,0.006883801164570448,8618,55.9333996583727,0.7500010431665539,0.0,0.8618861886188619,1.0,cyan,0.006883801164570448,50,ru,4.3396978021978025,0.0,0.283255669559626,4.53216137119572e-07,0.0,-1.6000249450385272e-06,0.9999999999987199
862,56.20977153231383,1.2836546849914754e-06,0.0,0.8628628628628628,0.0066288457932233424,8628,56.21640037810705,0.750001285475611,0.0,0.862886288628863,-1.0,cyan,-0.0066288457932233424,50,ru,4.344482600732601,0.0,0.2832556793094376,9.770312897616762e-08,0.0,-3.449291086214295e-07,0.9999999999999404
863,56.49302721582701,1.228074263948109e-06,0.0,0.8638638638638638,0.006373890344002421,8638,56.499401106171014,0.7500012240559714,0.0,0.8638863886388639,1.0,cyan,0.006373890344002421,50,ru,4.349267399267399,0.0,0.28325568637462695,-1.5991806256998586e-07,-0.0,5.645714111400281e-07,0.9999999999998407
864,56.776282905063084,9.638185598515037e-07,0.0,0.8648648648648649,0.006118934824148497,8648,56.78240183988723,0.7500009565353547,0.0,0.8648864886488649,-1.0,cyan,-0.006118934824148497,50,ru,4.354052197802198,0.0,0.28325569075514423,-3.196474376854219e-07,-0.0,1.1284766665518908e-06,0.9999999999993633
865,57.0595385973373,5.887793885772652e-07,0.0,0.8658658658658659,0.005863979240983599,8658,57.06540257657828,0.7500005805414811,0.0,0.8658865886588659,1.0,cyan,0.005863979240983599,50,ru,4.358836996336996,0.0,0.28325569245098237,-3.81484996536674e-07,-0.0,1.3467866902704675e-06,0.9999999999990931
